id,date,time,type,source,value
55881,2024-01-30,08:54:31.718236,temperature,z-02,21.100000381469727
55882,2024-01-30,08:54:31.718236,humidity,z-02,23.899999618530273
55883,2024-01-30,08:55:04.396794,temperature,z-02,21.100000381469727
55884,2024-01-30,08:55:04.396794,humidity,z-02,23.899999618530273
55885,2024-01-30,08:55:37.139025,temperature,z-02,21.100000381469727
55886,2024-01-30,08:55:37.139025,humidity,z-02,23.899999618530273
55887,2024-01-30,08:56:09.850144,temperature,z-02,21
55888,2024-01-30,08:56:09.850144,humidity,z-02,23.899999618530273
55889,2024-01-30,08:56:12.719105,temperature_1,z-03,22.0625
55890,2024-01-30,08:56:12.719105,temperature_2,z-03,-12.114582061767578
55891,2024-01-30,08:56:12.719105,humidity,z-03,30.499359130859375
55892,2024-01-30,08:56:12.719105,pressure,z-03,0
55893,2024-01-30,08:56:21.868458,temperature_1,z-03,22.136825561523438
55894,2024-01-30,08:56:21.868458,temperature_2,z-03,20.71666717529297
55895,2024-01-30,08:56:21.868458,humidity,z-03,29.335145950317383
55896,2024-01-30,08:56:21.868458,pressure,z-03,1015.465576171875
55897,2024-01-30,08:56:42.612213,temperature,z-02,20.899999618530273
55898,2024-01-30,08:56:42.612213,humidity,z-02,24.100000381469727
55901,2024-01-30,08:56:49.658532,temperature_1,z-03,22.211149215698242
55902,2024-01-30,08:56:49.658532,temperature_2,z-03,20.804166793823242
55903,2024-01-30,08:56:49.658532,humidity,z-03,29.355571746826172
55904,2024-01-30,08:56:49.658532,pressure,z-03,1015.52587890625
55905,2024-01-30,08:56:56.972662,temperature_1,z-03,22.341217041015625
55906,2024-01-30,08:56:56.972662,temperature_2,z-03,20.835416793823242
55907,2024-01-30,08:56:56.972662,humidity,z-03,29.555280685424805
55908,2024-01-30,08:56:56.972662,pressure,z-03,1015.444091796875
55909,2024-01-30,08:57:15.416886,temperature,z-02,20.899999618530273
55910,2024-01-30,08:57:15.416886,humidity,z-02,24.399999618530273
55911,2024-01-30,08:57:17.397627,temperature,z-01,21.200000762939453
55912,2024-01-30,08:57:17.397627,humidity,z-01,23
55913,2024-01-30,08:57:20.789910,temperature_1,z-03,22.378379821777344
55914,2024-01-30,08:57:20.789910,temperature_2,z-03,20.879167556762695
55915,2024-01-30,08:57:20.789910,humidity,z-03,30.14533042907715
55916,2024-01-30,08:57:20.789910,pressure,z-03,1015.46533203125
55917,2024-01-30,08:57:27.744074,temperature_1,z-03,22.359798431396484
55918,2024-01-30,08:57:27.744074,temperature_2,z-03,20.88541603088379
55919,2024-01-30,08:57:27.744074,humidity,z-03,29.537124633789062
55920,2024-01-30,08:57:27.744074,pressure,z-03,1015.47802734375
55921,2024-01-30,08:57:48.322557,temperature,z-02,20.799999237060547
55922,2024-01-30,08:57:48.322557,humidity,z-02,24.5
55923,2024-01-30,08:57:48.906702,temperature,z-01,21.200000762939453
55924,2024-01-30,08:57:48.906702,humidity,z-01,23.100000381469727
55925,2024-01-30,08:57:51.564989,temperature_1,z-03,22.322635650634766
55926,2024-01-30,08:57:51.564989,temperature_2,z-03,20.922916412353516
55927,2024-01-30,08:57:51.564989,humidity,z-03,29.518970489501953
55928,2024-01-30,08:57:51.564989,pressure,z-03,1015.48828125
55929,2024-01-30,08:57:58.515120,temperature_1,z-03,22.378379821777344
55930,2024-01-30,08:57:58.515120,temperature_2,z-03,20.931249618530273
55931,2024-01-30,08:57:58.515120,humidity,z-03,29.43954086303711
55932,2024-01-30,08:57:58.515120,pressure,z-03,1015.51708984375
55933,2024-01-30,08:58:20.270117,temperature,z-01,21.200000762939453
55934,2024-01-30,08:58:20.270117,humidity,z-01,23
55935,2024-01-30,08:58:21.020907,temperature,z-02,20.799999237060547
55936,2024-01-30,08:58:21.020907,humidity,z-02,24.899999618530273
55937,2024-01-30,08:58:22.284900,temperature_1,z-03,22.359798431396484
55938,2024-01-30,08:58:22.284900,temperature_2,z-03,20.943750381469727
55939,2024-01-30,08:58:22.284900,humidity,z-03,29.414575576782227
55940,2024-01-30,08:58:22.284900,pressure,z-03,1015.5068359375
55941,2024-01-30,08:58:29.263981,temperature_1,z-03,22.41554069519043
55942,2024-01-30,08:58:29.263981,temperature_2,z-03,20.945833206176758
55943,2024-01-30,08:58:29.263981,humidity,z-03,29.176286697387695
55944,2024-01-30,08:58:29.263981,pressure,z-03,1015.5048828125
55945,2024-01-30,08:58:51.980260,temperature,z-01,21.200000762939453
55946,2024-01-30,08:58:51.980260,humidity,z-01,23.200000762939453
55947,2024-01-30,08:58:53.165671,temperature_1,z-03,22.41554069519043
55948,2024-01-30,08:58:53.165671,temperature_2,z-03,20.962499618530273
55949,2024-01-30,08:58:53.165671,humidity,z-03,29.36237907409668
55950,2024-01-30,08:58:53.165671,pressure,z-03,1015.51171875
55951,2024-01-30,08:58:54.615797,temperature,z-02,20.700000762939453
55952,2024-01-30,08:58:54.615797,humidity,z-02,25.100000381469727
55953,2024-01-30,08:59:00.129308,temperature_1,z-03,22.396961212158203
55954,2024-01-30,08:59:00.129308,temperature_2,z-03,20.956249237060547
55955,2024-01-30,08:59:00.129308,humidity,z-03,29.462234497070312
55956,2024-01-30,08:59:00.129308,pressure,z-03,1015.50341796875
55957,2024-01-30,08:59:23.524627,temperature,z-01,21.200000762939453
55958,2024-01-30,08:59:23.524627,humidity,z-01,23.299999237060547
55959,2024-01-30,08:59:23.975604,temperature_1,z-03,22.396961212158203
55960,2024-01-30,08:59:23.975604,temperature_2,z-03,20.97916603088379
55961,2024-01-30,08:59:23.975604,humidity,z-03,30.070438385009766
55962,2024-01-30,08:59:23.975604,pressure,z-03,1015.524169921875
55963,2024-01-30,08:59:27.300009,temperature,z-02,20.700000762939453
55964,2024-01-30,08:59:27.300009,humidity,z-02,25.100000381469727
55965,2024-01-30,08:59:30.895716,temperature_1,z-03,22.341217041015625
55966,2024-01-30,08:59:30.895716,temperature_2,z-03,20.981250762939453
55967,2024-01-30,08:59:30.895716,humidity,z-03,29.854843139648438
55968,2024-01-30,08:59:30.895716,pressure,z-03,1015.486572265625
55969,2024-01-30,08:59:54.975764,temperature_1,z-03,22.396961212158203
55970,2024-01-30,08:59:54.975764,temperature_2,z-03,20.98958396911621
55971,2024-01-30,08:59:54.975764,humidity,z-03,29.793569564819336
55972,2024-01-30,08:59:54.975764,pressure,z-03,1015.48876953125
55973,2024-01-30,08:59:55.190317,temperature,z-01,21.200000762939453
55974,2024-01-30,08:59:55.190317,humidity,z-01,23.5
55975,2024-01-30,09:00:00.180423,temperature,z-02,20.700000762939453
55976,2024-01-30,09:00:00.180423,humidity,z-02,25.200000762939453
55977,2024-01-30,09:00:01.640908,temperature_1,z-03,22.471284866333008
55978,2024-01-30,09:00:01.640908,temperature_2,z-03,20.987499237060547
55979,2024-01-30,09:00:01.640908,humidity,z-03,29.83441925048828
55980,2024-01-30,09:00:01.640908,pressure,z-03,1015.454345703125
55981,2024-01-30,09:00:25.745498,temperature_1,z-03,22.45270347595215
55982,2024-01-30,09:00:25.745498,temperature_2,z-03,20.985416412353516
55983,2024-01-30,09:00:25.745498,humidity,z-03,29.705062866210938
55984,2024-01-30,09:00:25.745498,pressure,z-03,1015.50439453125
55985,2024-01-30,09:00:26.661625,temperature,z-01,21.200000762939453
55986,2024-01-30,09:00:26.661625,humidity,z-01,23.600000381469727
55987,2024-01-30,09:00:32.630359,temperature_1,z-03,22.396961212158203
55988,2024-01-30,09:00:32.630359,temperature_2,z-03,20.983333587646484
55989,2024-01-30,09:00:32.630359,humidity,z-03,29.730026245117188
55990,2024-01-30,09:00:32.630359,pressure,z-03,1015.469970703125
55991,2024-01-30,09:00:36.936892,temperature,z-02,20.700000762939453
55992,2024-01-30,09:00:36.936892,humidity,z-02,25.399999618530273
55993,2024-01-30,09:00:56.622205,temperature_1,z-03,22.43412208557129
55994,2024-01-30,09:00:56.622205,temperature_2,z-03,20.991666793823242
55995,2024-01-30,09:00:56.622205,humidity,z-03,29.768606185913086
55996,2024-01-30,09:00:56.622205,pressure,z-03,1015.50439453125
55997,2024-01-30,09:00:58.183265,temperature,z-01,21.200000762939453
55998,2024-01-30,09:00:58.183265,humidity,z-01,23.399999618530273
55999,2024-01-30,09:01:03.407859,temperature_1,z-03,22.43412208557129
56000,2024-01-30,09:01:03.407859,temperature_2,z-03,20.99791717529297
56001,2024-01-30,09:01:03.407859,humidity,z-03,29.505353927612305
56002,2024-01-30,09:01:03.407859,pressure,z-03,1015.537353515625
56003,2024-01-30,09:01:10.114699,temperature,z-02,20.700000762939453
56004,2024-01-30,09:01:10.114699,humidity,z-02,25.399999618530273
56005,2024-01-30,09:01:27.415177,temperature_1,z-03,22.489866256713867
56006,2024-01-30,09:01:27.415177,temperature_2,z-03,21.008333206176758
56007,2024-01-30,09:01:27.415177,humidity,z-03,29.87299919128418
56008,2024-01-30,09:01:27.415177,pressure,z-03,1015.4423828125
56009,2024-01-30,09:01:29.669428,temperature,z-01,21.200000762939453
56010,2024-01-30,09:01:29.669428,humidity,z-01,23.299999237060547
56011,2024-01-30,09:01:34.395577,temperature_1,z-03,22.43412208557129
56012,2024-01-30,09:01:34.395577,temperature_2,z-03,21.012500762939453
56013,2024-01-30,09:01:34.395577,humidity,z-03,29.807186126708984
56014,2024-01-30,09:01:34.395577,pressure,z-03,1015.448974609375
56015,2024-01-30,09:01:43.164480,temperature,z-02,20.700000762939453
56016,2024-01-30,09:01:43.164480,humidity,z-02,25.399999618530273
56017,2024-01-30,09:01:58.121976,temperature_1,z-03,22.545608520507812
56018,2024-01-30,09:01:58.121976,temperature_2,z-03,21.02916717529297
56019,2024-01-30,09:01:58.121976,humidity,z-03,29.875268936157227
56020,2024-01-30,09:01:58.121976,pressure,z-03,1015.462158203125
56021,2024-01-30,09:02:01.220751,temperature,z-01,21.200000762939453
56022,2024-01-30,09:02:01.220751,humidity,z-01,23.399999618530273
56023,2024-01-30,09:02:05.147642,temperature_1,z-03,22.527027130126953
56024,2024-01-30,09:02:05.147642,temperature_2,z-03,21.03333282470703
56025,2024-01-30,09:02:05.147642,humidity,z-03,29.959238052368164
56026,2024-01-30,09:02:05.147642,pressure,z-03,1015.46142578125
56027,2024-01-30,09:02:16.083857,temperature,z-02,20.700000762939453
56028,2024-01-30,09:02:16.083857,humidity,z-02,25.5
56029,2024-01-30,09:02:28.985168,temperature_1,z-03,22.471284866333008
56030,2024-01-30,09:02:28.985168,temperature_2,z-03,21.027082443237305
56031,2024-01-30,09:02:28.985168,humidity,z-03,30.249723434448242
56032,2024-01-30,09:02:28.985168,pressure,z-03,1015.45751953125
56033,2024-01-30,09:02:32.690300,temperature,z-01,21.200000762939453
56034,2024-01-30,09:02:32.690300,humidity,z-01,23.299999237060547
56035,2024-01-30,09:02:35.875046,temperature_1,z-03,22.58277130126953
56036,2024-01-30,09:02:35.875046,temperature_2,z-03,21.037500381469727
56037,2024-01-30,09:02:35.875046,humidity,z-03,29.786762237548828
56038,2024-01-30,09:02:35.875046,pressure,z-03,1015.433349609375
56039,2024-01-30,09:02:48.963741,temperature,z-02,20.700000762939453
56040,2024-01-30,09:02:48.963741,humidity,z-02,25.399999618530273
56041,2024-01-30,09:02:59.959738,temperature_1,z-03,22.564189910888672
56042,2024-01-30,09:02:59.959738,temperature_2,z-03,21.056249618530273
56043,2024-01-30,09:02:59.959738,humidity,z-03,30.133983612060547
56044,2024-01-30,09:02:59.959738,pressure,z-03,1015.42236328125
56045,2024-01-30,09:03:04.178805,temperature,z-01,21.200000762939453
56046,2024-01-30,09:03:04.178805,humidity,z-01,23.399999618530273
56047,2024-01-30,09:03:06.803067,temperature_1,z-03,22.45270347595215
56048,2024-01-30,09:03:06.803067,temperature_2,z-03,21.049999237060547
56049,2024-01-30,09:03:06.803067,humidity,z-03,30.104480743408203
56050,2024-01-30,09:03:06.803067,pressure,z-03,1015.446533203125
56051,2024-01-30,09:03:21.758618,temperature,z-02,20.700000762939453
56052,2024-01-30,09:03:21.758618,humidity,z-02,25.5
56053,2024-01-30,09:03:30.765148,temperature_1,z-03,22.508447647094727
56054,2024-01-30,09:03:30.765148,temperature_2,z-03,21.070833206176758
56055,2024-01-30,09:03:30.765148,humidity,z-03,30.065900802612305
56056,2024-01-30,09:03:30.765148,pressure,z-03,1015.48193359375
56057,2024-01-30,09:03:35.640385,temperature,z-01,21.200000762939453
56058,2024-01-30,09:03:35.640385,humidity,z-01,23.5
56059,2024-01-30,09:03:37.616137,temperature_1,z-03,22.564189910888672
56060,2024-01-30,09:03:37.616137,temperature_2,z-03,21.068750381469727
56061,2024-01-30,09:03:37.616137,humidity,z-03,30.14986801147461
56062,2024-01-30,09:03:37.616137,pressure,z-03,1015.462158203125
56063,2024-01-30,09:03:54.799094,temperature,z-02,20.700000762939453
56064,2024-01-30,09:03:54.799094,humidity,z-02,25.399999618530273
56065,2024-01-30,09:04:01.596025,temperature_1,z-03,22.527027130126953
56066,2024-01-30,09:04:01.596025,temperature_2,z-03,21.08333396911621
56067,2024-01-30,09:04:01.596025,humidity,z-03,30.354116439819336
56068,2024-01-30,09:04:01.596025,pressure,z-03,1015.476806640625
56069,2024-01-30,09:04:07.116287,temperature,z-01,21.200000762939453
56070,2024-01-30,09:04:07.116287,humidity,z-01,23.5
56071,2024-01-30,09:04:08.625345,temperature_1,z-03,22.489866256713867
56072,2024-01-30,09:04:08.625345,temperature_2,z-03,21.085416793823242
56073,2024-01-30,09:04:08.625345,humidity,z-03,29.782222747802734
56074,2024-01-30,09:04:08.625345,pressure,z-03,1015.463134765625
56075,2024-01-30,09:04:27.535669,temperature,z-02,20.700000762939453
56076,2024-01-30,09:04:27.535669,humidity,z-02,25.5
56077,2024-01-30,09:04:32.575106,temperature_1,z-03,22.61993408203125
56078,2024-01-30,09:04:32.575106,temperature_2,z-03,21.110416412353516
56079,2024-01-30,09:04:32.575106,humidity,z-03,29.991008758544922
56080,2024-01-30,09:04:32.575106,pressure,z-03,1015.508544921875
56081,2024-01-30,09:04:38.610281,temperature,z-01,21.200000762939453
56082,2024-01-30,09:04:38.610281,humidity,z-01,23.399999618530273
56083,2024-01-30,09:04:39.436353,temperature_1,z-03,22.545608520507812
56084,2024-01-30,09:04:39.436353,temperature_2,z-03,21.110416412353516
56085,2024-01-30,09:04:39.436353,humidity,z-03,29.553010940551758
56086,2024-01-30,09:04:39.436353,pressure,z-03,1015.47802734375
56087,2024-01-30,09:05:00.405584,temperature,z-02,20.700000762939453
56088,2024-01-30,09:05:00.405584,humidity,z-02,25.700000762939453
56089,2024-01-30,09:05:03.294174,temperature_1,z-03,22.508447647094727
56090,2024-01-30,09:05:03.294174,temperature_2,z-03,21.108333587646484
56091,2024-01-30,09:05:03.294174,humidity,z-03,30.01824188232422
56092,2024-01-30,09:05:03.294174,pressure,z-03,1015.49365234375
56093,2024-01-30,09:05:10.022437,temperature,z-01,21.200000762939453
56094,2024-01-30,09:05:10.022437,humidity,z-01,23.5
56095,2024-01-30,09:05:10.274908,temperature_1,z-03,22.489866256713867
56096,2024-01-30,09:05:10.274908,temperature_2,z-03,21.106250762939453
56097,2024-01-30,09:05:10.274908,humidity,z-03,29.888885498046875
56098,2024-01-30,09:05:10.274908,pressure,z-03,1015.494140625
56099,2024-01-30,09:05:34.208282,temperature_1,z-03,22.545608520507812
56100,2024-01-30,09:05:34.208282,temperature_2,z-03,21.131250381469727
56101,2024-01-30,09:05:34.208282,humidity,z-03,29.498544692993164
56102,2024-01-30,09:05:34.208282,pressure,z-03,1015.55712890625
56103,2024-01-30,09:05:34.428839,temperature,z-02,20.700000762939453
56104,2024-01-30,09:05:34.428839,humidity,z-02,25.600000381469727
56105,2024-01-30,09:05:41.095146,temperature_1,z-03,22.545608520507812
56106,2024-01-30,09:05:41.095146,temperature_2,z-03,21.131250381469727
